a	a1
rộn	zr on6
rộng	zr oNG6
rộp	zr op6
rớ	zr 75
rớm	zr 7m5
rớt	zr 7t5
rờ	zr 72
rời	zr 7j2
rờm	zr 7m2
rờn	zr 7n2
rở	zr 73
rởm	zr 7m3
rởn	zr 7n3
rỡ	zr 74
rỡn	zr 7n4
rợ	zr 76
rợi	zr 7j6
rợm	zr 7m6
rợn	zr 7n6
rợp	zr 7p6
rợt	zr 7t6
rục	zr uk6
rụi	zr uj6
rụng	zr uNG6
rụt	zr ut6
rủ	zr u3
rủa	zr uo3
rủi	zr uj3
rủn	zr un3
rủng	zr uNG3
rứa	zr M75
rức	zr Mk5
rứt	zr Mt5
rừng	zr MNG2
rửa	zr M73
rửng	zr MNG3
rữa	zr M74
rựa	zr M76
rực	zr Mk6
sa	ss a1
sai	ss aj1
sam	ss am1
san	ss an1
sang	ss aNG1
sanh	ss EXNJ1
sao	ss aw1
sau	ss aXw1
say	ss aXj1
se	ss E1
sen	ss En1
seo	ss Ew1
si	ss i1
sim	ss im1
sin	ss in1
sinh	ss iNJ1
siu	ss iw1
siêng	ss ieNG1
siêu	ss iew1
siết	ss iet5
siểm	ss iem3
siểng	ss ieNG3
siễn	ss ien4
so	ss O1
soa	ss wa1
soi	ss Oj1
son	ss On1
song	ss OXNG1
soong	ss ONG1
soà	ss wa2
soài	ss waj2
soái	ss waj5
soán	ss wan5
soát	ss wat5
soạn	ss wan6
soạng	ss waNG6
soạt	ss wat6
su	ss u1
sui	ss uj1
sum	ss um1
sun	ss un1
sung	ss uNG1
suy	ss wi1
suyển	ss wien3
suyễn	ss wien4
suê	ss we1
suôn	ss uon1
suông	ss uoNG1
suýt	ss wit5
suất	ss w7Xt5
suối	ss uoj5
suốt	ss uot5
suồng	ss uoNG2
suỵt	ss wit6
sà	ss a2
sài	ss aj2
sàm	ss am2
sàn	ss an2
sàng	ss aNG2
sành	ss EXNJ2
sào	ss aw2
sá	ss a5
sác	ss ak5
sách	ss EXk5
sái	ss aj5
sám	ss am5
sán	ss an5
sáng	ss aNG5
sánh	ss EXNJ5
sáo	ss aw5
sáp	ss ap5
sát	ss at5
sáu	ss aXw5
sâm	ss 7Xm1
sân	ss 7Xn1
sâu	ss 7Xw1
sây	ss 7Xj1
sã	ss a4
sãi	ss aj4
sè	ss E2
sèo	ss Ew2
séc	ss Ek5
sém	ss Em5
sét	ss Et5
sê	ss e1
sên	ss en1
sênh	ss eNJ1
sêu	ss ew1
sì	ss i2
sình	ss iNJ2
sính	ss iNJ5
sít	ss it5
sò	ss O2
sòi	ss Oj2
sòm	ss Om2
sòng	ss OXNG2
sóc	ss OXk5
sói	ss Oj5
sóm	ss Om5
són	ss On5
sóng	ss OXNG5
sóoc	ss Ok5
sót	ss Ot5
sô	ss o1
sôi	ss oj1
sông	ss oNG1
sõi	ss Oj4
sõng	ss OXNG4
sù	ss u2
sùi	ss uj2
sùm	ss um2
sùng	ss uNG2
sú	ss u5
súc	ss uk5
sún	ss un5
súng	ss uNG5
súp	ss up5
sút	ss ut5
súy	ss wi5
săm	ss aXm1
săn	ss aXn1
săng	ss aXNG1
sĩ	ss i4
sũng	ss uNG4
sơ	ss 71
sơm	ss 7m1
sơn	ss 7n1
sư	ss M1
sưa	ss M71
sưng	ss MNG1
sưu	ss Mw1
sương	ss M7NG1
sướng	ss M7NG5
sướt	ss M7t5
sườn	ss M7n2
sường	ss M7NG2
sưởi	ss M7j3
sượng	ss M7NG6
sượt	ss M7t6
sạ	ss a6
sạch	ss EXk6
sạm	ss am6
sạn	ss an6
sạo	ss aw6
sạp	ss ap6
sạt	ss at6
sả	ss a3
sải	ss aj3
sản	ss an3
sảng	ss aNG3
sảnh	ss EXNJ3
sảo	ss aw3
sảy	ss aXj3
sấm	ss 7Xm5
sấn	ss 7Xn5
sấp	ss 7Xp5
sất	ss 7Xt5
sấu	ss 7Xw5
sấy	ss 7Xj5
sầm	ss 7Xm2
sần	ss 7Xn2
sầu	ss 7Xw2
sầy	ss 7Xj2
sẩm	ss 7Xm3
sẩn	ss 7Xn3
sẩy	ss 7Xj3
sẫm	ss 7Xm4
sậm	ss 7Xm6
sập	ss 7Xp6
sật	ss 7Xt6
sậu	ss 7Xw6
sậy	ss 7Xj6
sắc	ss aXk5
sắm	ss aXm5
sắn	ss aXn5
sắng	ss aXNG5
sắp	ss aXp5
sắt	ss aXt5
sằng	ss aXNG2
sẵn	ss aXn4
sặc	ss aXk6
sặm	ss aXm6
sặt	ss aXt6
sẹ	ss E6
sẹm	ss Em6
sẹo	ss Ew6
sẹt	ss Et6
sẻ	ss E3
sẻn	ss En3
sẽ	ss E4
sến	ss en5
sếp	ss ep5
sếu	ss ew5
sề	ss e2
sền	ss en2
sể	ss e3
sểnh	ss eNJ3
sễ	ss e4
sệ	ss e6
sệt	ss et6
sỉ	ss i3
sỉa	ss ie3
sỉnh	ss iNJ3
sị	ss i6
sịa	ss ie6
sịch	ss ik6
sịt	ss it6
sọ	ss O6
sọc	ss OXk6
sọm	ss Om6
sọt	ss Ot6
sỏ	ss O3
sỏi	ss Oj3
số	ss o5
sốc	ss ok5
sống	ss oNG5
sốp	ss op5
sốt	ss ot5
sồ	ss o2
sồi	ss oj2
sồn	ss on2
sồng	ss oNG2
sổ	ss o3
sổi	ss oj3
sổng	ss oNG3
sỗ	ss o4
sộ	ss o6
sộp	ss op6
sột	ss ot6
sớ	ss 75
sới	ss 7j5
sớm	ss 7m5
sớn	ss 7n5
sớt	ss 7t5
sờ	ss 72
sờm	ss 7m2
sờn	ss 7n2
sở	ss 73
sởi	ss 7j3
sởn	ss 7n3
sỡ	ss 74
sợ	ss 76
sợi	ss 7j6
sụ	ss u6
sụa	ss uo6
sục	ss uk6
sụm	ss um6
sụn	ss un6
sụp	ss up6
sụt	ss ut6
sủa	ss uo3
sủi	ss uj3
sủng	ss uNG3
sứ	ss M5
sứa	ss M75
sức	ss Mk5
sứt	ss Mt5
sừn	ss Mn2
sừng	ss MNG2
sử	ss M3
sửa	ss M73
sửng	ss MNG3
sửu	ss Mw3
sữa	ss M74
sững	ss MNG4
sự	ss M6
sực	ss Mk6
sựng	ss MNG6
sựt	ss Mt6
sỹ	ss i4
ta	t a1
tai	t aj1
tam	t am1
tan	t an1
tang	t aNG1
tanh	t EXNJ1
tao	t aw1
tau	t aXw1
tay	t aXj1
te	t E1
tem	t Em1
ten	t En1
teng	t ENG1
teo	t Ew1
tha	th a1
thai	th aj1
tham	th am1
than	th an1
thang	th aNG1
thanh	th EXNJ1
thao	th aw1
thau	th aXw1
thay	th aXj1
the	th E1
then	th En1
theo	th Ew1
thi	th i1
thia	th ie1
thin	th in1
thinh	th iNJ1
thiu	th iw1
thiêm	th iem1
thiên	th ien1
thiêng	th ieNG1
thiêu	th iew1
thiếc	th iek5
thiến	th ien5
thiếp	th iep5
thiết	th iet5
thiếu	th iew5
thiềm	th iem2
thiền	th ien2
thiềng	th ieNG2
thiều	th iew2
thiểm	th iem3
thiển	th ien3
thiểu	th iew3
thiện	th ien6
thiệp	th iep6
thiệt	th iet6
thiệu	th iew6
tho	th O1
thoa	th wa1
thoai	th waj1
thoang	th waNG1
thoi	th Oj1
thom	th Om1
thon	th On1
thong	th OXNG1
thoàn	th wan2
thoái	th waj5
thoán	th wan5
thoáng	th waNG5
thoát	th wat5
thoăn	th waXn1
thoại	th waj6
thoạt	th wat6
thoả	th wa3
thoải	th waj3
thoảng	th waNG3
thoắng	th waXNG5
thoắt	th waXt5
thu	th u1
thua	th uo1
thui	th uj1
thum	th um1
thun	th un1
thung	th uNG1
thuyên	th wien1
thuyết	th wiet5
thuyền	th wien2
thuê	th we1
thuôn	th uon1
thuý	th wi5
thuần	th w7Xn2
thuẫn	th w7Xn4
thuận	th w7Xn6
thuật	th w7Xt6
thuế	th we5
thuể	th we3
thuốc	th uok5
thuốn	th uon5
thuồn	th uon2
thuồng	th uoNG2
thuổng	th uoNG3
thuỗn	th uon4
thuộc	th uok6
thuộm	th uom6
thuở	th w73
thuỳ	th wi2
thuỵ	th wi6
thuỷ	th wi3
thà	th a2
thài	th aj2
thàm	th am2
thành	th EXNJ2
thào	th aw2
thày	th aXj2
thá	th a5
thác	th ak5
thách	th EXk5
thái	th aj5
thám	th am5
thán	th an5
tháng	th aNG5
thánh	th EXNJ5
tháo	th aw5
tháp	th ap5
tháu	th aXw5
tháy	th aXj5
thâm	th 7Xm1
thân	th 7Xn1
thâu	th 7Xw1
thây	th 7Xj1
thãi	th aj4
thè	th E2
thèm	th Em2
thèn	th En2
thèo	th Ew2
thé	th E5
thép	th Ep5
thét	th Et5
thê	th e1
thêm	th em1
thênh	th eNJ1
thêu	th ew1
thì	th i2
thìa	th ie2
thìn	th in2
thình	th iNJ2
thìu	th iw2
thí	th i5
thía	th ie5
thích	th ik5
thím	th im5
thín	th in5
thính	th iNJ5
thíp	th ip5
thít	th it5
thò	th O2
thòa	th wa2
thòi	th Oj2
thòm	th Om2
thòng	th OXNG2
thó	th O5
thóa	th wa5
thóc	th OXk5
thói	th Oj5
thóp	th Op5
thót	th Ot5
thô	th o1
thôi	th oj1
thôn	th on1
thông	th oNG1
thõng	th OXNG4
thù	th u2
thùa	th uo2
thùi	th uj2
thùm	th um2
thùng	th uNG2
thùy	th wi2
thú	th u5
thúc	th uk5
thúi	th uj5
thúng	th uNG5
thút	th ut5
thúy	th wi5
thăm	th aXm1
thăn	th aXn1
thăng	th aXNG1
thũng	th uNG4
thơ	th 71
thơi	th 7j1
thơm	th 7m1
thơn	th 7n1
thư	th M1
thưa	th M71
thưng	th MNG1
thương	th M7NG1
thước	th M7k5
thướt	th M7t5
thườn	th M7n2
thường	th M7NG2
thưởng	th M7NG3
thưỡi	th M7j4
thưỡn	th M7n4
thược	th M7k6
thượng	th M7NG6
thượt	th M7t6
thạc	th ak6
thạch	th EXk6
thạnh	th EXNJ6
thạo	th aw6
thạp	th ap6
thả	th a3
thải	th aj3
thảm	th am3
thản	th an3
thảng	th aNG3
thảnh	th EXNJ3
thảo	th aw3
thảy	th aXj3
thấm	th 7Xm5
thấp	th 7Xp5
thất	th 7Xt5
thấu	th 7Xw5
thấy	th 7Xj5
thầm	th 7Xm2
thần	th 7Xn2
thầu	th 7Xw2
thầy	th 7Xj2
thẩm	th 7Xm3
thẩn	th 7Xn3
thẩu	th 7Xw3
thẫm	th 7Xm4
thẫn	th 7Xn4
thậm	th 7Xm6
thận	th 7Xn6
thập	th 7Xp6
thật	th 7Xt6
thắc	th aXk5
thắm	th aXm5
thắn	th aXn5
thắng	th aXNG5
thắp	th aXp5
thắt	th aXt5
thằn	th aXn2
thằng	th aXNG2
thẳm	th aXm3
thẳng	th aXNG3
thặng	th aXNG6
thẹn	th En6
thẹo	th Ew6
thẹp	th Ep6
thẻ	th E3
thẻo	th Ew3
thẽ	th E4
thế	th e5
thếch	th ek5
thếp	th ep5
thết	th et5
thề	th e2
thềm	th em2
thều	th ew2
thể	th e3
thểu	th ew3
thệ	th e6
thện	th en6
thỉ	th i3
thỉnh	th iNJ3
thỉu	th iw3
thị	th i6
thịch	th ik6
thịnh	th iNJ6
thịt	th it6
thịu	th iw6
thọ	th O6
thọc	th OXk6
thọt	th Ot6
thỏ	th O3
thỏa	th wa3
thỏi	th Oj3
thỏm	th Om3
thố	th o5
thốc	th ok5
thối	th oj5
thốn	th on5
thống	th oNG5
thốt	th ot5
thồ	th o2
thồi	th oj2
thồm	th om2
thồn	th on2
thổ	th o3
thổi	th oj3
thổn	th on3
thộc	th ok6
thộn	th on6
thộp	th op6
thớ	th 75
thớt	th 7t5
thờ	th 72
thời	th 7j2
thờn	th 7n2
thở	th 73
thợ	th 76
thợt	th 7t6
thụ	th u6
thục	th uk6
thụi	th uj6
thụng	th uNG6
thụp	th up6
thụt	th ut6
thụy	th wi6
thủ	th u3
thủa	th uo3
thủi	th uj3
thủm	th um3
thủng	th uNG3
thủy	th wi3
thứ	th M5
thức	th Mk5
thừ	th M2
thừa	th M72
thừng	th MNG2
thử	th M3
thửa	th M73
thững	th MNG4
thự	th M6
thực	th Mk6
ti	t i1
tia	t ie1
tim	t im1
tin	t in1
tinh	t iNJ1
tiu	t iw1
tiêm	t iem1
tiên	t ien1
tiêng	t ieNG1
tiêu	t iew1
tiếc	t iek5
tiếm	t iem5
tiến	t ien5
tiếng	t ieNG5
tiếp	t iep5
tiết	t iet5
tiếu	t iew5
tiềm	t iem2
tiền	t ien2
tiều	t iew2
tiểu	t iew3
tiễn	t ien4
tiễu	t iew4
tiệc	t iek6
tiệm	t iem6
tiện	t ien6
tiệp	t iep6
tiệt	t iet6
to	t O1
toa	t wa1
toan	t wan1
toang	t waNG1
toanh	t wEXNJ1
toe	t wE1
toen	t wEn1
toi	t Oj1
tom	t Om1
ton	t On1
tong	t OXNG1
toong	t ONG1
toà	t wa2
toài	t waj2
toàn	t wan2
toàng	t waNG2
toác	t wak5
toái	t waj5
toán	t wan5
toáng	t waNG5
toát	t wat5
toáy	t waXj5
toèn	t wEn2
toé	t wE5
toét	t wEt5
toòng	t ONG2
toạ	t wa6
toạc	t wak6
toại	t waj6
toạng	t waNG6
toả	t wa3
toẹt	t wEt6
toẽ	t wE4
tra	tr a1
trai	tr aj1
tram	tr am1
tran	tr an1
trang	tr aNG1
tranh	tr EXNJ1
trao	tr aw1
trau	tr aXw1
tre	tr E1
treo	tr Ew1
tri	tr i1
trinh	tr iNJ1
triêng	tr ieNG1
triêu	tr iew1
triến	tr ien5
triết	tr iet5
triền	tr ien2
triềng	tr ieNG2
triều	tr iew2
triển	tr ien3
triện	tr ien6
triệng	tr ieNG6
triệt	tr iet6
triệu	tr iew6
tro	tr O1
troi	tr Oj1
tron	tr On1
trong	tr OXNG1
tru	tr u1
trui	tr uj1
trun	tr un1
trung	tr uNG1
truy	tr wi1
truyền	tr wien2
truyện	tr wien6
truân	tr w7Xn1
truông	tr uoNG1
truất	tr w7Xt5
truật	tr w7Xt6
truồng	tr uoNG2
truột	tr uot6
truỵ	tr wi6
trà	tr a2
trài	tr aj2
tràm	tr am2
tràn	tr an2
tràng	tr aNG2
trành	tr EXNJ2
trào	tr aw2
tràu	tr aXw2
trày	tr aXj2
trá	tr a5
trác	tr ak5
trách	tr EXk5
trái	tr aj5
trám	tr am5
trán	tr an5
tráng	tr aNG5
tránh	tr EXNJ5
tráo	tr aw5
tráp	tr ap5
trát	tr at5
trâm	tr 7Xm1
trân	tr 7Xn1
trâng	tr 7XNG1
trâu	tr 7Xw1
trây	tr 7Xj1
trã	tr a4
trãi	tr aj4
trè	tr E2
trèm	tr Em2
trèn	tr En2
trèo	tr Ew2
trém	tr Em5
tréo	tr Ew5
trét	tr Et5
trê	tr e1
trên	tr en1
trêu	tr ew1
trì	tr i2
trình	tr iNJ2
trìu	tr iw2
trí	tr i5
trích	tr ik5
trít	tr it5
trò	tr O2
tròi	tr Oj2
tròm	tr Om2
tròn	tr On2
tròng	tr OXNG2
tróc	tr OXk5
trói	tr Oj5
tróm	tr Om5
tróng	tr OXNG5
trót	tr Ot5
trô	tr o1
trôi	tr oj1
trôm	tr om1
trôn	tr on1
trông	tr oNG1
trõm	tr Om4
trõn	tr On4
trù	tr u2
trùi	tr uj2
trùm	tr um2
trùn	tr un2
trùng	tr uNG2
trú	tr u5
trúc	tr uk5
trúm	tr um5
trúng	tr uNG5
trút	tr ut5
trăm	tr aXm1
trăn	tr aXn1
trăng	tr aXNG1
trĩ	tr i4
trĩnh	tr iNJ4
trĩu	tr iw4
trũi	tr uj4
trũng	tr uNG4
trơ	tr 71
trơi	tr 7j1
trơn	tr 7n1
trưa	tr M71
trưng	tr MNG1
trương	tr M7NG1
trước	tr M7k5
trướng	tr M7NG5
trườn	tr M7n2
trường	tr M7NG2
trưởng	tr M7NG3
trưỡng	tr M7NG4
trượng	tr M7NG6
trượt	tr M7t6
trạc	tr ak6
trạch	tr EXk6
trại	tr aj6
trạm	tr am6
trạng	tr aNG6
trạo	tr aw6
trạy	tr aXj6
trả	tr a3
trải	tr aj3
trảm	tr am3
trảng	tr aNG3
trảo	tr aw3
trảu	tr aXw3
trảy	tr aXj3
trấn	tr 7Xn5
trấp	tr 7Xp5
trấu	tr 7Xw5
trầm	tr 7Xm2
trần	tr 7Xn2
trầu	tr 7Xw2
trầy	tr 7Xj2
trẩn	tr 7Xn3
trẩu	tr 7Xw3
trẩy	tr 7Xj3
trẫm	tr 7Xm4
trậm	tr 7Xm6
trận	tr 7Xn6
trập	tr 7Xp6
trật	tr 7Xt6
trắc	tr aXk5
trắm	tr aXm5
trắng	tr aXNG5
trắt	tr aXt5
trằm	tr aXm2
trằn	tr aXn2
trặc	tr aXk6
trặn	tr aXn6
trẹ	tr E6
trẹo	tr Ew6
trẹt	tr Et6
trẻ	tr E3
trẻo	tr Ew3
trẽ	tr E4
trẽn	tr En4
trếch	tr ek5
trết	tr et5
trề	tr e2
trễ	tr e4
trệ	tr e6
trệch	tr ek6
trệt	tr et6
trệu	tr ew6
trỉa	tr ie3
trị	tr i6
trịa	tr ie6
trịch	tr ik6
trịnh	tr iNJ6
trịt	tr it6
trọ	tr O6
trọc	tr OXk6
trọi	tr Oj6
trọn	tr On6
trọng	tr OXNG6
trọt	tr Ot6
trỏ	tr O3
trỏi	tr Oj3
trỏng	tr OXNG3
trố	tr o5
trốc	tr ok5
trối	tr oj5
trốn	tr on5
trống	tr oNG5
trồ	tr o2
trồi	tr oj2
trồng	tr oNG2
trổ	tr o3
trổi	tr oj3
trổng	tr oNG3
trỗ	tr o4
trộ	tr o6
trộc	tr ok6
trội	tr oj6
trộm	tr om6
trộn	tr on6
trớ	tr 75
trớn	tr 7n5
trớp	tr 7p5
trớt	tr 7t5
trờ	tr 72
trời	tr 7j2
trờn	tr 7n2
trở	tr 73
trợ	tr 76
trợn	tr 7n6
trợt	tr 7t6
trụ	tr u6
trụa	tr uo6
trục	tr uk6
trụi	tr uj6
trụm	tr um6
trụn	tr un6
trụng	tr uNG6
trụp	tr up6
trụt	tr ut6
trụy	tr wi6
trủ	tr u3
trứ	tr M5
trứng	tr MNG5
trừ	tr M2
trừa	tr M72
trừng	tr MNG2
trừu	tr Mw2
trửng	tr MNG3
trữ	tr M4
trự	tr M6
trực	tr Mk6
tu	t u1
tua	t uo1
tui	t uj1
tum	t um1
tun	t un1
tung	t uNG1
tuy	t wi1
tuyn	t win1
tuyên	t wien1
tuyến	t wien5
tuyết	t wiet5
tuyền	t wien2
tuyển	t wien3
tuyệt	t wiet6
tuân	t w7Xn1
tuôn	t uon1
tuông	t uoNG1
tuý	t wi5
tuấn	t w7Xn5
tuất	t w7Xt5
tuần	t w7Xn2
tuế	t we5
tuếch	t wek5
tuệ	t we6
tuệch	t wek6
tuốt	t uot5
tuồn	t uon2
tuồng	t uoNG2
tuổi	t uoj3
tuộc	t uok6
tuột	t uot6
tuỳ	t wi2
tuỵ	t wi6
tuỷ	t wi3
ty	t i1
tà	t a2
tài	t aj2
tàm	t am2
tàn	t an2
tàng	t aNG2
tành	t EXNJ2
tào	t aw2
tàu	t aXw2
tày	t aXj2
tá	t a5
tác	t ak5
tách	t EXk5
tái	t aj5
tám	t am5
tán	t an5
táng	t aNG5
tánh	t EXNJ5
táo	t aw5
táp	t ap5
tát	t at5
táu	t aXw5
táy	t aXj5
tâm	t 7Xm1
tân	t 7Xn1
tâng	t 7XNG1
tâu	t 7Xw1
tây	t 7Xj1
tã	t a4
tãi	t aj4
tè	t E2
tèm	t Em2
tèn	t En2
tèo	t Ew2
té	t E5
téc	t Ek5
tém	t Em5
tép	t Ep5
tét	t Et5
tê	t e1
têm	t em1
tên	t en1
tênh	t eNJ1
têt	t et1
têu	t ew1
tì	t i2
tìm	t im2
tình	t iNJ2
tí	t i5
tía	t ie5
tích	t ik5
tím	t im5
tín	t in5
tính	t iNJ5
típ	t ip5
tít	t it5
tíu	t iw5
tò	t O2
tòa	t wa2
tòe	t wE2
tòi	t Oj2
tòm	t Om2
tòn	t On2
tòng	t OXNG2
tó	t O5
tóc	t OXk5
tóe	t wE5
tói	t Oj5
tóm	t Om5
tóp	t Op5
tót	t Ot5
tô	t o1
tôi	t oj1
tôm	t om1
tôn	t on1
tông	t oNG1
tõm	t Om4
tù	t u2
tùm	t um2
tùng	t uNG2
tùy	t wi2
tú	t u5
túc	t uk5
túi	t uj5
túm	t um5
túng	t uNG5
túp	t up5
tút	t ut5
túy	t wi5
tý	t i5
tăm	t aXm1
tăn	t aXn1
tăng	t aXNG1
tĩ	t i4
tĩnh	t iNJ4
tĩu	t iw4
tũm	t um4
tơ	t 71
tơi	t 7j1
tư	t M1
tưa	t M71
tưng	t MNG1
tươi	t M7j1
tươm	t M7m1
tương	t M7NG1
tước	t M7k5
tưới	t M7j5
tướn	t M7n5
tướng	t M7NG5
tướp	t M7p5
tướt	t M7t5
tườm	t M7m2
tường	t M7NG2
tườu	t M7w2
tưởi	t M7j3
tưởng	t M7NG3
tược	t M7k6
tượng	t M7NG6
tượp	t M7p6
tượt	t M7t6
tượu	t M7w6
tạ	t a6
tạc	t ak6
tạch	t EXk6
tại	t aj6
tạm	t am6
tạng	t aNG6
tạnh	t EXNJ6
tạo	t aw6
tạp	t ap6
tạt	t at6
tạu	t aXw6
tả	t a3
tải	t aj3
tản	t an3
tảng	t aNG3
tảo	t aw3
tấc	t 7Xk5
tấm	t 7Xm5
tấn	t 7Xn5
tấp	t 7Xp5
tất	t 7Xt5
tấu	t 7Xw5
tấy	t 7Xj5
tầm	t 7Xm2
tần	t 7Xn2
tầng	t 7XNG2
tầy	t 7Xj2
tẩm	t 7Xm3
tẩn	t 7Xn3
tẩu	t 7Xw3
tẩy	t 7Xj3
tận	t 7Xn6
tập	t 7Xp6
tật	t 7Xt6
tậu	t 7Xw6
tắc	t aXk5
tắm	t aXm5
tắn	t aXn5
tắp	t aXp5
tắt	t aXt5
tằm	t aXm2
tằn	t aXn2
tằng	t aXNG2
tẳn	t aXn3
tặc	t aXk6
tặn	t aXn6
tặng	t aXNG6
tẹo	t Ew6
tẹp	t Ep6
tẹt	t Et6
tẻ	t E3
tẻm	t Em3
tẻo	t Ew3
tẽ	t E4
tẽn	t En4
tế	t e5
tếch	t ek5
tết	t et5
tếu	t ew5
tề	t e2
tềnh	t eNJ2
tể	t e3
tểnh	t eNJ3
tễ	t e4
tễnh	t eNJ4
tệ	t e6
tệp	t ep6
tỉ	t i3
tỉa	t ie3
tỉm	t im3
tỉnh	t iNJ3
tị	t i6
tịch	t ik6
tịnh	t iNJ6
tịt	t it6
tịu	t iw6
tọa	t wa6
tọc	t OXk6
tọng	t OXNG6
tọp	t Op6
tọt	t Ot6
tỏ	t O3
tỏe	t wE3
tỏi	t Oj3
tỏm	t Om3
tỏng	t OXNG3
tố	t o5
tốc	t ok5
tối	t oj5
tốn	t on5
tống	t oNG5
tốp	t op5
tốt	t ot5
tồ	t o2
tồi	t oj2
tồn	t on2
tồng	t oNG2
tổ	t o3
tổn	t on3
tổng	t oNG3
tộ	t o6
tộc	t ok6
tội	t oj6
tột	t ot6
tớ	t 75
tới	t 7j5
tớn	t 7n5
tớp	t 7p5
tớt	t 7t5
tờ	t 72
tời	t 7j2
tởm	t 7m3
tợ	t 76
tợn	t 7n6
tợp	t 7p6
tụ	t u6
tục	t uk6
tụi	t uj6
tụm	t um6
tụng	t uNG6
tụt	t ut6
tụy	t wi6
tủ	t u3
tủa	t uo3
tủi	t uj3
tủm	t um3
tủn	t un3
tủy	t wi3
tứ	t M5
tứa	t M75
tức	t Mk5
từ	t M2
từa	t M72
từng	t MNG2
tử	t M3
tửa	t M73
tửng	t MNG3
tửu	t Mw3
tự	t M6
tựa	t M76
tựu	t Mw6
tỳ	t i2
tỵ	t i6
tỷ	t i3
u	u1
um	um1
un	un1
ung	uNG1
uy	wi1
uyn	win1
uyên	wien1
uyển	wien3
uôm	uom1
uý	wi5
uất	w7Xt5
uẩn	w7Xn3
uẩy	w7Xj3
uế	we5
uể	we3
uốn	uon5
uống	uoNG5
uổng	uoNG3
uột	uot6
uở	w73
uỳnh	wiNJ2
uỵch	wik6
uỷ	wi3
va	v a1
vai	v aj1
van	v an1
vang	v aNG1
vanh	v EXNJ1
vao	v aw1
vay	v aXj1
ve	v E1
ven	v En1
veo	v Ew1
vi	v i1
vinh	v iNJ1
viêm	v iem1
viên	v ien1
viếng	v ieNG5
viết	v iet5
viền	v ien2
viển	v ien3
viễn	v ien4
việc	v iek6
viện	v ien6
việt	v iet6
vo	v O1
voan	v wan1
voi	v Oj1
von	v On1
vong	v OXNG1
vu	v u1
vua	v uo1
vui	v uj1
vun	v un1
vung	v uNG1
vuông	v uoNG1
vuốt	v uot5
vuột	v uot6
và	v a2
vài	v aj2
vàm	v am2
vàn	v an2
vàng	v aNG2
vành	v EXNJ2
vào	v aw2
vày	v aXj2
vá	v a5
vác	v ak5
vách	v EXk5
vái	v aj5
ván	v an5
váng	v aNG5
vánh	v EXNJ5
váo	v aw5
váp	v ap5
vát	v at5
váy	v aXj5
vâm	v 7Xm1
vân	v 7Xn1
vâng	v 7XNG1
vây	v 7Xj1
vã	v a4
vãi	v aj4
vãn	v an4
vãng	v aNG4
vãnh	v EXNJ4
vè	v E2
vèo	v Ew2
vé	v E5
véc	v Ek5
vén	v En5
véo	v Ew5
vét	v Et5
vê	v e1
vên	v en1
vênh	v eNJ1
vêu	v ew1
vì	v i2
ví	v i5
vía	v ie5
vích	v ik5
vít	v it5
víu	v iw5
vò	v O2
vòi	v Oj2
vòm	v Om2
vòn	v On2
vòng	v OXNG2
vó	v O5
vóc	v OXk5
vói	v Oj5
vón	v On5
vóng	v OXNG5
vót	v Ot5
vô	v o1
vôi	v oj1
vôn	v on1
vông	v oNG1
võ	v O4
võng	v OXNG4
vù	v u2
vùa	v uo2
vùi	v uj2
vùn	v un2
vùng	v uNG2
vú	v u5
vúc	v uk5
vút	v ut5
văn	v aXn1
văng	v aXNG1
vĩ	v i4
vĩnh	v iNJ4
vũ	v u4
vũm	v um4
vũng	v uNG4
vơ	v 71
vơi	v 7j1
vưng	v MNG1
vưu	v Mw1
vươn	v M7n1
vương	v M7NG1
vướng	v M7NG5
vườn	v M7n2
vưởng	v M7NG3
vược	v M7k6
vượn	v M7n6
vượng	v M7NG6
vượt	v M7t6
vạ	v a6
vạc	v ak6
vạch	v EXk6
vại	v aj6
vạm	v am6
vạn	v an6
vạng	v aNG6
vạnh	v EXNJ6
vạp	v ap6
vạt	v at6
vạy	v aXj6
vả	v a3
vải	v aj3
vảng	v aNG3
vảy	v aXj3
vấn	v 7Xn5
vấp	v 7Xp5
vất	v 7Xt5
vấu	v 7Xw5
vấy	v 7Xj5
vần	v 7Xn2
vầng	v 7XNG2
vầu	v 7Xw2
vầy	v 7Xj2
vẩn	v 7Xn3
vẩu	v 7Xw3
vẩy	v 7Xj3
vẫn	v 7Xn4
vẫy	v 7Xj4
vậm	v 7Xm6
vận	v 7Xn6
vập	v 7Xp6
vật	v 7Xt6
vậy	v 7Xj6
vắc	v aXk5
vắn	v aXn5
vắng	v aXNG5
vắt	v aXt5
vằm	v aXm2
vằn	v aXn2
vằng	v aXNG2
vẳng	v aXNG3
vặc	v aXk6
vặn	v aXn6
vặt	v aXt6
vẹm	v Em6
vẹn	v En6
vẹo	v Ew6
vẹt	v Et6
vẻ	v E3
vẻn	v En3
vẻo	v Ew3
vẽ	v E4
vế	v e5
vếch	v ek5
vết	v et5
vếu	v ew5
về	v e2
vền	v en2
vều	v ew2
vểnh	v eNJ3
vệ	v e6
vện	v en6
vệt	v et6
vỉ	v i3
vỉa	v ie3
vị	v i6
vịm	v im6
vịn	v in6
vịnh	v iNJ6
vịt	v it6
vọ	v O6
vọc	v OXk6
vọi	v Oj6
